year,month,level
2015,10,0.201
2015,11,0.171
2015,12,0.156
2016,1,0.067
2016,2,0.09300000000000001
2016,3,0.087
2016,4,0.027000000000000003
2016,5,0.008
2016,6,0.032
2016,7,0.028999999999999998
2016,8,0.031
2016,9,0.026000000000000002
2016,10,0.008
2016,11,0.018000000000000002
2016,12,0.01
2017,1,0.02
2017,2,0.024
2017,3,0.034
2017,4,0.011000000000000001
2017,5,0.026000000000000002
2017,6,0.045
2017,7,0.037000000000000005
2017,8,0.038
2017,9,0.025
2017,10,0.036000000000000004
2017,11,0.01
2017,12,0.032
2018,1,0.017
2018,2,0.04
2018,3,0.006
2018,4,0.0
2018,5,0.016
2018,6,0.037000000000000005
2018,7,0.043
2018,8,0.054000000000000006
2018,9,0.027999999999999997
2018,10,0.08199999999999999
2018,11,0.083
2018,12,0.05
2019,1,0.047
2019,2,0.021
2019,3,0.033
2019,4,0.06
2019,5,0.019
2019,6,0.031
2019,7,0.006
2019,8,-0.008
2019,9,0.036000000000000004
2019,10,0.02
2019,11,0.09699999999999999
